,user_id,ISBN,rating
14854,2276,0020960808,10
14856,2276,0030632366,9
14858,2276,0061030643,8
14860,2276,0061098353,8
14861,2276,0061099155,9
14867,2276,0071407944,7
14869,2276,0131953621,8
14870,2276,0133143023,9
14871,2276,0139634479,6
14875,2276,031209261X,10
14876,2276,0312191952,9
14877,2276,0312855486,10
14880,2276,0312974728,9
14881,2276,0312983220,8
14882,2276,0312989385,10
14883,2276,0340055383,9
14884,2276,0340182563,9
14887,2276,0345257448,8
14889,2276,0345271335,10
14891,2276,0345272463,9
14893,2276,0345275187,9
14894,2276,0345275497,10
14899,2276,034528643X,8
14906,2276,0345308476,9
14908,2276,0345315642,10
14910,2276,0345357620,8
14911,2276,0345361407,7
14915,2276,0345379144,10
14916,2276,0345382447,7
14921,2276,0345397371,8
14922,2276,0345404793,9
14925,2276,0345423615,9
14927,2276,0345447867,9
14928,2276,0345460693,9
14929,2276,0380002930,9
14930,2276,0380482800,3
14931,2276,0380503026,8
14932,2276,0380542625,10
14936,2276,038072880X,9
14937,2276,0380751682,5
14938,2276,0380770210,8
14941,2276,0385018681,8
14944,2276,0385505833,5
14946,2276,0393310477,7
14947,2276,0394499026,5
14950,2276,0395247764,10
14951,2276,0399129723,8
14952,2276,0399146725,10
14954,2276,0425033260,7
14955,2276,0425037967,8
14956,2276,0425039048,9
14960,2276,0425047253,10
14963,2276,0425050424,9
14965,2276,0425052990,4
14966,2276,0425053008,5
14967,2276,0425054578,6
14968,2276,0425055272,10
14970,2276,0425056023,9
14971,2276,0425058190,8
14973,2276,0425062856,8
14977,2276,0425119653,8
14980,2276,0425170470,10
14981,2276,0425172546,9
14983,2276,0425182908,4
14984,2276,0440110602,8
14985,2276,0440128757,8
14986,2276,0440145465,10
14990,2276,0440220793,7
14991,2276,0440221471,10
14992,2276,0440236673,10
14993,2276,0440237424,6
14995,2276,0440948754,9
14999,2276,0441065848,10
15003,2276,0441116868,9
15010,2276,0441317502,9
15017,2276,044173684X,8
15029,2276,0446327085,9
15031,2276,0446349461,9
15034,2276,0446364622,8
15035,2276,0446518220,10
15036,2276,0446521612,5
15039,2276,0446609323,9
15041,2276,0446612790,10
15042,2276,0446613681,8
15044,2276,0446794031,7
15047,2276,0446936383,10
15050,2276,0449007383,10
15053,2276,0449209695,10
15055,2276,044921852X,9
15057,2276,0449232085,9
15058,2276,0449236714,8
15059,2276,0449237842,10
15061,2276,0449240886,5
15064,2276,0449703274,10
15065,2276,0449903001,9
15067,2276,0451095847,5
15070,2276,0451115589,7
15076,2276,0451163710,10
15078,2276,0451171845,9
15081,2276,0451204891,9
15084,2276,0451401905,5
15086,2276,0451452305,10
15087,2276,0451452941,10
15088,2276,0451454081,10
15089,2276,0451454499,5
15091,2276,0451456726,10
15092,2276,0451456734,10
15093,2276,0451458990,9
15094,2276,0451615492,9
15095,2276,0451620372,10
15096,2276,0460016989,7
15098,2276,0515130125,10
15100,2276,0515135747,7
15101,2276,052341269,9
15105,2276,0534129064,8
15106,2276,055302986X,9
15107,2276,0553052691,10
15110,2276,0553113925,8
15114,2276,0553144286,8
15121,2276,0553227041,5
15123,2276,055323577X,7
15124,2276,0553236679,9
15125,2276,0553240307,10
15126,2276,0553246089,8
15131,2276,0553258311,6
15133,2276,0553263226,10
15138,2276,0553289640,6
15139,2276,0553290797,8
15142,2276,0553574582,7
15143,2276,0553575538,10
15145,2276,0553576801,8
15146,2276,0553582526,9
15148,2276,0553583468,10
15149,2276,0553584510,9
15150,2276,0553585118,10
15151,2276,0553585681,10
15158,2276,0671016768,8
15161,2276,0671428306,5
15164,2276,0671442260,7
15165,2276,0671442686,10
15172,2276,0671473905,9
15175,2276,0671524313,10
15176,2276,0671531360,9
15178,2276,0671547305,9
15185,2276,0671622358,7
15186,2276,0671625810,9
15190,2276,0671635743,9
15191,2276,0671653601,9
15194,2276,0671658875,10
15195,2276,0671660632,5
15196,2276,0671669583,9
15199,2276,0671721178,10
15200,2276,0671721224,9
15202,2276,0671721542,9
15204,2276,0671729446,5
15205,2276,0671743872,5
15207,2276,0671795988,7
15208,2276,0671797050,10
15209,2276,0671806769,7
15213,2276,0671822896,7
15219,2276,0671832867,7
15222,2276,0671833367,7
15223,2276,0671833987,8
15227,2276,0671836927,9
15229,2276,0671876015,10
15232,2276,0679504885,8
15233,2276,0684803976,10
15234,2276,0684852802,9
15238,2276,0743412753,9
15239,2276,0743424387,6
15242,2276,0756400147,10
15243,2276,0756400619,8
15244,2276,0758201931,10
15245,2276,0786006579,7
15253,2276,0805063897,10
15257,2276,0812513711,8
15260,2276,0812517725,8
15266,2276,0812545540,7
15268,2276,0812575962,10
15270,2276,0812585151,5
15271,2276,081287031X,9
15272,2276,0812880145,8
15273,2276,082171306X,6
15276,2276,087216683X,4
15277,2276,0872168026,5
15280,2276,0878331824,10
15294,2276,0882293613,10
15295,2276,0882840185,8
15302,2276,0886771897,10
15303,2276,0886772222,10
15304,2276,0886772559,10
15305,2276,0886772850,10
15307,2276,0886773199,10
15310,2276,0886774632,10
15311,2276,0886775167,10
15313,2276,0886775639,10
15315,2276,0886776120,10
15318,2276,0886779200,8
15319,2276,088950900X,3
15321,2276,089529768X,8
15323,2276,0897890272,10
15326,2276,0931580366,8
15330,2276,09656196674,10
