,id,scaledFeatures,prediction,distance_to_centroid,ISBN,rating
41782,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0886777976,5
41701,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553569910,5
41700,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553492152,5
41699,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553472321,5
41698,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553452991,5
41697,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553440055,5
41696,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553278398,5
41695,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,055327807X,5
41694,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553268082,5
41692,25981,"[1.1961587768704838,2.59358452529814,1.8840808575336323,1.2584561731295607,0.004236844456182421,1.4480182019079955,-0.25358730794298107,0.7243339981723531,-1.173309113035826,-1.2414305917818682,0.7649583381424547,0.9523299172577588,-0.7625134992205329,-0.04964653730002359,-1.4078057275660618,-1.020879066130224,-0.14229070245766903,-0.6695545914260735,0.45751109767831116,-0.33439118254761263,-0.4408822946421638,-1.2144321230929616,-0.3253621038816829,-0.1561573804537077,-0.592242367915619,-0.31885067917009,0.13904546951027372,1.7631189473766955,1.1979814405120308,1.822954332140396,-2.2482964103856395,-1.9228739260897294,-0.3339029887045522,1.622426656168878,0.39452761429761124]",1,4.935038103095383,0553216287,5
