,ISBN,rating
715,0373123108,10.0
1882,0671744623,10.0
507,0345384385,10.0
2703,1573229571,10.0
2246,0810927543,10.0
2921,2912042615,10.0
921,0393050939,10.0
1891,0671776800,10.0
798,0375412883,10.0
2919,2909083004,10.0
1898,0671795538,10.0
2917,2908730308,10.0
1280,0451183940,10.0
1903,0671809158,10.0
1904,0671827847,10.0
525,0345423399,10.0
2733,1878610104,10.0
1907,0671870114,10.0
1908,0671870955,10.0
2252,0812097378,10.0
1881,0671744216,10.0
1957,0679763414,10.0
1880,0671744208,10.0
913,038550120X,10.0
914,0385501404,10.0
915,0385503822,10.0
2265,0812550544,10.0
1861,0671737600,10.0
1862,0671737619,10.0
1864,0671737635,10.0
1865,0671737643,10.0
1867,0671737791,10.0
1869,0671737821,10.0
1870,067173783X,10.0
1871,0671737848,10.0
1269,0451168615,10.0
1006,0399147128,10.0
917,0385505833,10.0
2680,1567310079,10.0
1879,0671742566,10.0
4305,8478884424,10.0
4306,8478884580,10.0
4308,8478885668,10.0
2912,2869596103,10.0
3862,8433970283,10.0
1291,0451194861,10.0
1542,0553574116,10.0
1541,0553574108,10.0
1540,0553574094,10.0
3362,8422678276,10.0
181,0140440232,10.0
1938,0679448896,10.0
2195,0793820103,10.0
2762,202023811X,10.0
1947,0679723161,10.0
1949,0679732241,10.0
1951,067973452X,10.0
1531,0553571907,10.0
1530,0553571842,10.0
1529,0553571834,10.0
166,0140230165,10.0
2755,2.912687.00.4,10.0
2211,0804105820,10.0
1555,0553583468,10.0
1911,0671870998,10.0
4310,8478886680,10.0
4311,8478887121,10.0
1909,0671870971,10.0
1564,0553802712,10.0
1563,0553802526,10.0
534,0345435273,10.0
535,0345438825,10.0
537,0345441036,10.0
2215,0804111898,10.0
3149,8422616335,10.0
1561,0553801880,10.0
202,0151002177,10.0
543,0345447859,10.0
545,0345453808,10.0
546,0345453816,10.0
548,0345462270,10.0
912,0385484518,10.0
1850,0671732498,10.0
2662,1565112008,10.0
435,0316693324,10.0
378,0312303467,10.0
377,0312284683,10.0
860,0380813815,10.0
375,0312265867,10.0
374,0312265859,10.0
373,0312252943,10.0
372,0312252617,10.0
1192,0446526916,10.0
369,0312205406,10.0
368,0312203039,10.0
429,0316277010,10.0
365,0312185863,10.0
431,0316569321,10.0
865,0380819171,10.0
433,0316603287,10.0
867,038082079X,10.0
434,0316666343,10.0
380,0312436408,10.0
1194,0446527041,10.0
383,0312851405,10.0
1732,0671010085,10.0
406,0312966806,10.0
405,0312966091,10.0
1723,067100333X,10.0
1722,0671002031,10.0
2507,0894803204,10.0
413,0312980140,10.0
1718,0671000853,10.0
1733,0671010093,10.0
1741,0671014218,10.0
1734,0671010107,10.0
2513,0895860775,10.0
855,0380807122,10.0
419,0312983867,10.0
2515,0898707714,10.0
421,0312993536,10.0
1195,0446527165,10.0
1365,0515102636,10.0
1761,0671032992,10.0
911,0385479565,10.0
1762,0671034014,10.0
3446,842333094X,10.0
2388,0843950463,10.0
2386,0843947888,10.0
2371,0843122749,10.0
1826,0671670069,10.0
814,0380690543,10.0
3434,8422697688,10.0
905,038533558X,10.0
3433,842269767X,10.0
2343,0833510266,10.0
3432,8422697661,10.0
2323,082121523X,10.0
1839,0671702505,10.0
2618,1555837336,10.0
1840,0671702513,10.0
1844,067172262X,10.0
1846,0671722816,10.0
3447,8423334473,10.0
2598,155166951X,10.0
2594,1551668653,10.0
1784,0671432672,10.0
839,0380776839,10.0
2448,0881841641,10.0
1690,0670000094,10.0
1685,0609804138,10.0
1776,0671042556,10.0
878,0380975726,10.0
1165,0441172717,10.0
2566,0965608646,10.0
1147,0440508363,10.0
835,0380761327,10.0
2427,0879758813,10.0
2575,1400034779,10.0
2422,0876669658,10.0
1797,0671525700,10.0
1150,044100069X,10.0
1149,0440967694,10.0
1527,0553571591,10.0
541,034544356X,10.0
1724,0671003356,10.0
997,0399138994,10.0
75,0061007226,10.0
756,0373256701,10.0
1425,0525945725,10.0
758,0373259565,10.0
2066,0743439651,10.0
1048,0425115801,10.0
2012,0689820747,10.0
2011,0689815816,10.0
1422,0525934189,10.0
4465,849318490X,10.0
31,0060086246,10.0
1359,0515084891,10.0
1361,051508901X,10.0
2138,0778320197,10.0
2140,0783547528,10.0
2829,2253029858,10.0
1023,0425018989,10.0
2791,2070423336,10.0
1485,0553268880,10.0
2889,2840557851,10.0
1378,0515129224,10.0
1362,0515090654,10.0
1363,051509160X,10.0
120,0066211220,10.0
2788,2070386023,10.0
1387,0515133876,10.0
755,0373255632,10.0
1388,0515134449,10.0
2050,0743245520,10.0
1394,0515134511,10.0
1395,051513452X,10.0
1392,0515134481,10.0
1333,0452011876,10.0
979,0395071224,10.0
1442,0553099604,10.0
86,0061020710,10.0
1354,0486414132,10.0
2051,074324642X,10.0
2059,0743426827,10.0
2120,0765342294,10.0
1391,0515134473,10.0
1389,0515134457,10.0
1390,0515134465,10.0
2096,0743526279,10.0
2808,2211068987,10.0
2123,0768905362,10.0
1454,0553209329,10.0
1327,0451524942,10.0
1430,0534349668,10.0
1400,0517219018,10.0
2064,0743437128,10.0
